  Copyright © 1991-2002 by Bjørn Stabell, Ken Ronny Schouten, Bert Gijsbers & Dick Balaska.
  XPilot 4.5.5 comes with ABSOLUTELY NO WARRANTY; for details see the
  provided LICENSE file.

Using pixmap copying
Searching for a "xpilots" server on the local net...
*** Connected to localhost
... queued at position  1
*** Login allowed.
time 0 = 79976 us
time 1 = 67571 us
time 2 = 71220 us
time 3 = 71329 us
time 4 = 45298 us
time 5 = 26166 us
time 6 = 71284 us
time 7 = 31204 us
time 8 = 40329 us
time 9 = 71347 us
time 10 = 71461 us
time 11 = 71376 us
time 12 = 71425 us
time 13 = 71426 us
time 14 = 71408 us
time 15 = 71451 us
time 16 = 71410 us
time 17 = 71444 us
time 18 = 6070 us
time 19 = 61704 us
time 20 = 71315 us
time 21 = 7922 us
time 22 = 63573 us
time 23 = 71334 us
time 24 = 71417 us
time 25 = 1736 us
time 26 = 69789 us
time 27 = 49892 us
time 28 = 21493 us
time 29 = 2734 us
time 30 = 68633 us
time 31 = 67031 us
time 32 = 3990 us
time 33 = 20313 us
time 34 = 51213 us
time 35 = 28579 us
time 36 = 43114 us
time 37 = 37113 us
time 38 = 34076 us
time 39 = 69885 us
time 40 = 1551 us
time 41 = 71416 us
time 42 = 62959 us
time 43 = 8467 us
time 44 = 71380 us
time 45 = 64466 us
time 46 = 6973 us
time 47 = 8430 us
time 48 = 62981 us
time 49 = 17090 us
time 50 = 54378 us
time 51 = 65936 us
time 52 = 5434 us
time 53 = 71416 us
time 54 = 71428 us
time 55 = 71417 us
time 56 = 71425 us
time 57 = 68668 us
time 58 = 2751 us
time 59 = 71437 us
time 60 = 71394 us
time 61 = 71425 us
time 62 = 71409 us
time 63 = 71420 us
time 64 = 71436 us
time 65 = 71412 us
time 66 = 71412 us
time 67 = 34409 us
time 68 = 37047 us
time 69 = 71416 us
time 70 = 11114 us
time 71 = 60359 us
time 72 = 71373 us
time 73 = 71418 us
time 74 = 71690 us
time 75 = 71237 us
time 76 = 71402 us
time 77 = 70487 us
time 78 = 917 us
time 79 = 63069 us
time 80 = 8371 us
time 81 = 71404 us
time 82 = 15909 us
time 83 = 24047 us
time 84 = 31477 us
time 85 = 71589 us
time 86 = 71250 us
time 87 = 49929 us
time 88 = 21509 us
time 89 = 71405 us
time 90 = 43548 us
time 91 = 23222 us
time 92 = 4672 us
time 93 = 71423 us
time 94 = 20512 us
time 95 = 23644 us
time 96 = 27293 us
time 97 = 68945 us
time 98 = 2485 us
time 99 = 21006 us
time 100 = 50421 us
time 101 = 46135 us
time 102 = 25331 us
time 103 = 70361 us
time 104 = 1011 us
time 105 = 54709 us
time 106 = 16700 us
time 107 = 71409 us
time 108 = 56437 us
time 109 = 15023 us
time 110 = 64688 us
time 111 = 6730 us
time 112 = 33139 us
time 113 = 38321 us
time 114 = 41543 us
time 115 = 29840 us
time 116 = 71416 us
time 117 = 71420 us
time 118 = 71429 us
time 119 = 71424 us
time 120 = 71646 us
time 121 = 71293 us
time 122 = 13840 us
time 123 = 57572 us
time 124 = 71398 us
time 125 = 71397 us
time 126 = 71429 us
time 127 = 71440 us
time 128 = 71414 us
time 129 = 71477 us
time 130 = 33495 us
