  Copyright © 1991-2002 by Bjørn Stabell, Ken Ronny Schouten, Bert Gijsbers & Dick Balaska.
  XPilot 4.5.5 comes with ABSOLUTELY NO WARRANTY; for details see the
  provided LICENSE file.

Using pixmap copying
Searching for a "xpilots" server on the local net...
*** Connected to optimus.csl.cornell.edu
... queued at position  1
*** Login allowed.
time 0 = 79894 us
time 1 = 67552 us
time 2 = 71257 us
time 3 = 71374 us
time 4 = 71342 us
time 5 = 71355 us
time 6 = 71443 us
time 7 = 71350 us
time 8 = 71528 us
time 9 = 71412 us
time 10 = 71374 us
time 11 = 71413 us
time 12 = 11524 us
time 13 = 60452 us
time 14 = 34923 us
time 15 = 36376 us
time 16 = 71174 us
time 17 = 71320 us
time 18 = 67733 us
time 19 = 48380 us
time 20 = 22964 us
time 21 = 71372 us
time 22 = 66423 us
time 23 = 5123 us
time 24 = 17740 us
time 25 = 53604 us
time 26 = 3055 us
time 27 = 68407 us
time 28 = 71371 us
time 29 = 71407 us
time 30 = 71064 us
time 31 = 21395 us
time 32 = 50036 us
time 33 = 71797 us
time 34 = 71126 us
time 35 = 71424 us
time 36 = 71421 us
time 37 = 71410 us
time 38 = 71407 us
time 39 = 71418 us
time 40 = 71425 us
time 41 = 71432 us
time 42 = 42700 us
time 43 = 28720 us
time 44 = 71414 us
time 45 = 71440 us
time 46 = 71413 us
time 47 = 71419 us
time 48 = 5844 us
time 49 = 65589 us
time 50 = 71411 us
time 51 = 22715 us
time 52 = 48699 us
time 53 = 71428 us
time 54 = 48186 us
time 55 = 23398 us
time 56 = 71295 us
time 57 = 41080 us
time 58 = 30460 us
time 59 = 71294 us
time 60 = 58486 us
time 61 = 13035 us
time 62 = 71406 us
time 63 = 11321 us
time 64 = 60165 us
time 65 = 4035 us
time 66 = 67373 us
time 67 = 36381 us
time 68 = 35074 us
time 69 = 53171 us
time 70 = 18192 us
time 71 = 71682 us
time 72 = 30066 us
time 73 = 41176 us
time 74 = 71427 us
time 75 = 71367 us
time 76 = 71446 us
time 77 = 71396 us
time 78 = 71429 us
time 79 = 71415 us
time 80 = 66288 us
time 81 = 5102 us
time 82 = 71397 us
time 83 = 19221 us
time 84 = 52198 us
time 85 = 71441 us
time 86 = 71405 us
time 87 = 71425 us
time 88 = 71427 us
time 89 = 71427 us
time 90 = 71417 us
time 91 = 71417 us
time 92 = 71435 us
time 93 = 71422 us
time 94 = 71421 us
time 95 = 71426 us
time 96 = 71425 us
time 97 = 34926 us
time 98 = 36508 us
time 99 = 71420 us
time 100 = 51818 us
time 101 = 19609 us
time 102 = 71408 us
time 103 = 69198 us
time 104 = 2228 us
time 105 = 71742 us
time 106 = 71183 us
time 107 = 71421 us
time 108 = 71411 us
time 109 = 48789 us
time 110 = 22757 us
time 111 = 202 us
time 112 = 71113 us
time 113 = 49580 us
time 114 = 21907 us
time 115 = 71363 us
time 116 = 2368 us
time 117 = 69214 us
time 118 = 35267 us
time 119 = 36060 us
time 120 = 71370 us
time 121 = 71425 us
time 122 = 71439 us
time 123 = 71405 us
